item_name,variants,cuisine,ingredients,type,occasion,description,price_range,dietary_preference,spice_level,serving_style,popularity_score,dish_text
Hakka Noodles,['Express'],Chinese,[],Appetizer,"['Get-together', 'Baby Shower', 'Brunch']",Hakka Noodles is a popular vegetarian appetizer from Chinese cuisine.,Standard,Vegetarian,Mild,Buffet,3.6,Hakka Noodles - Hakka Noodles is a popular vegetarian appetizer from Chinese cuisine. (Chinese)
Spring Rolls,['Delight'],Chinese,[],Main Course,"['Dinner Party', 'Brunch', 'Reception', 'Office Party']",Spring Rolls is a popular vegetarian main course from Chinese cuisine.,Premium,Vegetarian,Mild,Buffet,4.1,Spring Rolls - Spring Rolls is a popular vegetarian main course from Chinese cuisine. (Chinese)
Falafel Wrap,"['Express', 'Delight']",Mediterranean,[],Main Course,"['Corporate Lunch', 'Birthday Party', 'Baby Shower', 'Festival']",Falafel Wrap is a popular vegetarian main course from Mediterranean cuisine.,Luxury,Vegetarian,Medium,Buffet,4.9,Falafel Wrap - Falafel Wrap is a popular vegetarian main course from Mediterranean cuisine. (Mediterranean)
Hummus Platter,['Royal'],Mediterranean,[],Main Course,"['Birthday Party', 'Festival']",Hummus Platter is a popular vegetarian main course from Mediterranean cuisine.,Luxury,Vegetarian,Medium,Buffet,4.8,Hummus Platter - Hummus Platter is a popular vegetarian main course from Mediterranean cuisine. (Mediterranean)
Greek Salad,"['Special', 'Express']",Mediterranean,[],Main Course,"['Wedding', 'Get-together', 'Corporate Lunch']",Greek Salad is a popular vegetarian main course from Mediterranean cuisine.,Standard,Vegetarian,Mild,Live Counter,4.5,Greek Salad - Greek Salad is a popular vegetarian main course from Mediterranean cuisine. (Mediterranean)
Veg Quesadilla,"['Special', 'Classic']",Mexican,[],Main Course,"['Reception', 'Wedding', 'Housewarming', 'Festival']",Veg Quesadilla is a popular vegetarian main course from Mexican cuisine.,Economy,Vegetarian,Spicy,Buffet,3.7,Veg Quesadilla - Veg Quesadilla is a popular vegetarian main course from Mexican cuisine. (Mexican)
Tacos,['Classic'],Mexican,[],Main Course,"['Wedding', 'Get-together', 'Brunch']",Tacos is a popular vegetarian main course from Mexican cuisine.,Luxury,Vegetarian,Medium,Plated,3.9,Tacos - Tacos is a popular vegetarian main course from Mexican cuisine. (Mexican)
Burrito Bowl,['Special'],Mexican,[],Main Course,"['Office Party', 'Festival', 'Housewarming', 'Baby Shower']",Burrito Bowl is a popular vegetarian main course from Mexican cuisine.,Economy,Vegetarian,Medium,Live Counter,4.5,Burrito Bowl - Burrito Bowl is a popular vegetarian main course from Mexican cuisine. (Mexican)
Veg Sushi Roll,['Royal'],Japanese,[],Appetizer,"['Office Party', 'Reception', 'Housewarming']",Veg Sushi Roll is a popular vegetarian appetizer from Japanese cuisine.,Standard,Vegetarian,Medium,Plated,3.9,Veg Sushi Roll - Veg Sushi Roll is a popular vegetarian appetizer from Japanese cuisine. (Japanese)
Pad Thai,['Delight'],Thai,[],Main Course,"['Baby Shower', 'Wedding', 'Get-together', 'Reception']",Pad Thai is a popular vegetarian main course from Thai cuisine.,Premium,Vegetarian,Spicy,Plated,3.6,Pad Thai - Pad Thai is a popular vegetarian main course from Thai cuisine. (Thai)
Green Curry,"['Special', 'Royal']",Thai,[],Main Course,"['Wedding', 'Festival', 'Corporate Lunch']",Green Curry is a popular vegetarian main course from Thai cuisine.,Standard,Vegetarian,Spicy,Live Counter,3.8,Green Curry - Green Curry is a popular vegetarian main course from Thai cuisine. (Thai)
Veg Burger,['Delight'],American,[],Main Course,"['Housewarming', 'Wedding', 'Festival']",Veg Burger is a popular vegetarian main course from American cuisine.,Standard,Vegetarian,Mild,Plated,4.4,Veg Burger - Veg Burger is a popular vegetarian main course from American cuisine. (American)
Veg Sandwich,"['Special', 'Express']",American,[],Main Course,"['Brunch', 'Baby Shower']",Veg Sandwich is a popular vegetarian main course from American cuisine.,Standard,Vegetarian,Spicy,Plated,4.7,Veg Sandwich - Veg Sandwich is a popular vegetarian main course from American cuisine. (American)
Cheese Nachos,"['Royal', 'Express']",Mexican,[],Main Course,"['Corporate Lunch', 'Get-together', 'Dinner Party', 'Festival']",Cheese Nachos is a popular vegetarian main course from Mexican cuisine.,Standard,Vegetarian,Mild,Live Counter,3.7,Cheese Nachos - Cheese Nachos is a popular vegetarian main course from Mexican cuisine. (Mexican)
Penne Arrabbiata,['Classic'],Italian,[],Main Course,"['Office Party', 'Birthday Party']",Penne Arrabbiata is a popular vegetarian main course from Italian cuisine.,Standard,Vegetarian,Medium,Live Counter,4.3,Penne Arrabbiata - Penne Arrabbiata is a popular vegetarian main course from Italian cuisine. (Italian)
Risotto,"['Delight', 'Express']",Italian,[],Dessert,"['Corporate Lunch', 'Reception']",Risotto is a popular vegetarian dessert from Italian cuisine.,Economy,Vegetarian,Mild,Live Counter,4.8,Risotto - Risotto is a popular vegetarian dessert from Italian cuisine. (Italian)
Pasta Alfredo,['Royal'],Italian,[],Main Course,"['Office Party', 'Reception']",Pasta Alfredo is a popular vegetarian main course from Italian cuisine.,Economy,Vegetarian,Medium,Plated,3.5,Pasta Alfredo - Pasta Alfredo is a popular vegetarian main course from Italian cuisine. (Italian)
Margherita Pizza,"['Special', 'Express']",Italian,[],Dessert,"['Housewarming', 'Reception', 'Office Party', 'Corporate Lunch']",Margherita Pizza is a popular vegetarian dessert from Italian cuisine.,Economy,Vegetarian,Medium,Plated,4.8,Margherita Pizza - Margherita Pizza is a popular vegetarian dessert from Italian cuisine. (Italian)
Vegetable Lasagna,"['Special', 'Delight']",Italian,[],Main Course,"['Reception', 'Get-together', 'Brunch', 'Festival']",Vegetable Lasagna is a popular vegetarian main course from Italian cuisine.,Economy,Vegetarian,Medium,Plated,3.9,Vegetable Lasagna - Vegetable Lasagna is a popular vegetarian main course from Italian cuisine. (Italian)
Veg Manchurian,['Special'],Chinese,[],Appetizer,"['Baby Shower', 'Corporate Lunch', 'Brunch', 'Wedding']",Veg Manchurian is a popular vegetarian appetizer from Chinese cuisine.,Standard,Vegetarian,Medium,Buffet,3.8,Veg Manchurian - Veg Manchurian is a popular vegetarian appetizer from Chinese cuisine. (Chinese)
Hakka Noodles,['Royal'],Chinese,[],Dessert,"['Corporate Lunch', 'Baby Shower']",Hakka Noodles is a popular vegetarian dessert from Chinese cuisine.,Economy,Vegetarian,Spicy,Buffet,3.5,Hakka Noodles - Hakka Noodles is a popular vegetarian dessert from Chinese cuisine. (Chinese)
Spring Rolls,['Express'],Chinese,[],Main Course,"['Dinner Party', 'Wedding', 'Corporate Lunch']",Spring Rolls is a popular vegetarian main course from Chinese cuisine.,Luxury,Vegetarian,Mild,Buffet,3.7,Spring Rolls - Spring Rolls is a popular vegetarian main course from Chinese cuisine. (Chinese)
Falafel Wrap,"['Special', 'Classic']",Mediterranean,[],Main Course,"['Festival', 'Office Party', 'Housewarming']",Falafel Wrap is a popular vegetarian main course from Mediterranean cuisine.,Luxury,Vegetarian,Spicy,Buffet,4.0,Falafel Wrap - Falafel Wrap is a popular vegetarian main course from Mediterranean cuisine. (Mediterranean)
Hummus Platter,"['Special', 'Delight']",Mediterranean,[],Main Course,"['Brunch', 'Baby Shower']",Hummus Platter is a popular vegetarian main course from Mediterranean cuisine.,Economy,Vegetarian,Mild,Plated,3.6,Hummus Platter - Hummus Platter is a popular vegetarian main course from Mediterranean cuisine. (Mediterranean)
Greek Salad,"['Delight', 'Special']",Mediterranean,[],Main Course,"['Dinner Party', 'Housewarming']",Greek Salad is a popular vegetarian main course from Mediterranean cuisine.,Luxury,Vegetarian,Mild,Buffet,4.6,Greek Salad - Greek Salad is a popular vegetarian main course from Mediterranean cuisine. (Mediterranean)
Veg Quesadilla,['Delight'],Mexican,[],Main Course,"['Birthday Party', 'Office Party']",Veg Quesadilla is a popular vegetarian main course from Mexican cuisine.,Luxury,Vegetarian,Medium,Buffet,4.2,Veg Quesadilla - Veg Quesadilla is a popular vegetarian main course from Mexican cuisine. (Mexican)
Tacos,['Special'],Mexican,[],Main Course,"['Baby Shower', 'Housewarming']",Tacos is a popular vegetarian main course from Mexican cuisine.,Economy,Vegetarian,Medium,Live Counter,4.4,Tacos - Tacos is a popular vegetarian main course from Mexican cuisine. (Mexican)
Burrito Bowl,"['Express', 'Delight']",Mexican,[],Appetizer,"['Housewarming', 'Festival']",Burrito Bowl is a popular vegetarian appetizer from Mexican cuisine.,Premium,Vegetarian,Medium,Plated,4.8,Burrito Bowl - Burrito Bowl is a popular vegetarian appetizer from Mexican cuisine. (Mexican)
Veg Sushi Roll,"['Express', 'Special']",Japanese,[],Dessert,"['Reception', 'Wedding']",Veg Sushi Roll is a popular vegetarian dessert from Japanese cuisine.,Standard,Vegetarian,Spicy,Plated,3.7,Veg Sushi Roll - Veg Sushi Roll is a popular vegetarian dessert from Japanese cuisine. (Japanese)
Pad Thai,['Classic'],Thai,[],Main Course,"['Birthday Party', 'Brunch', 'Office Party', 'Baby Shower']",Pad Thai is a popular vegetarian main course from Thai cuisine.,Economy,Vegetarian,Medium,Live Counter,4.2,Pad Thai - Pad Thai is a popular vegetarian main course from Thai cuisine. (Thai)
Green Curry,"['Express', 'Royal']",Thai,[],Main Course,"['Dinner Party', 'Get-together', 'Wedding', 'Corporate Lunch']",Green Curry is a popular vegetarian main course from Thai cuisine.,Standard,Vegetarian,Mild,Plated,3.8,Green Curry - Green Curry is a popular vegetarian main course from Thai cuisine. (Thai)
Veg Burger,['Royal'],American,[],Main Course,"['Brunch', 'Office Party']",Veg Burger is a popular vegetarian main course from American cuisine.,Economy,Vegetarian,Spicy,Buffet,4.3,Veg Burger - Veg Burger is a popular vegetarian main course from American cuisine. (American)
Veg Sandwich,['Special'],American,[],Main Course,"['Birthday Party', 'Office Party', 'Festival']",Veg Sandwich is a popular vegetarian main course from American cuisine.,Standard,Vegetarian,Spicy,Live Counter,3.5,Veg Sandwich - Veg Sandwich is a popular vegetarian main course from American cuisine. (American)
Cheese Nachos,['Special'],Mexican,[],Main Course,"['Reception', 'Baby Shower', 'Brunch']",Cheese Nachos is a popular vegetarian main course from Mexican cuisine.,Premium,Vegetarian,Mild,Plated,4.8,Cheese Nachos - Cheese Nachos is a popular vegetarian main course from Mexican cuisine. (Mexican)
Penne Arrabbiata,"['Special', 'Classic']",Italian,[],Main Course,"['Housewarming', 'Office Party', 'Reception', 'Brunch']",Penne Arrabbiata is a popular vegetarian main course from Italian cuisine.,Standard,Vegetarian,Medium,Live Counter,4.2,Penne Arrabbiata - Penne Arrabbiata is a popular vegetarian main course from Italian cuisine. (Italian)
Risotto,"['Special', 'Delight']",Italian,[],Main Course,"['Reception', 'Baby Shower', 'Brunch', 'Festival']",Risotto is a popular vegetarian main course from Italian cuisine.,Economy,Vegetarian,Mild,Buffet,4.2,Risotto - Risotto is a popular vegetarian main course from Italian cuisine. (Italian)
Meetha Paan,"['Express', 'Special']",Indian (North),[],Dessert,"['Reception', 'Housewarming', 'Festival', 'Dinner Party']",Meetha Paan is a popular vegetarian dessert from Indian (North) cuisine.,Premium,Vegetarian,Mild,Buffet,4.9,Meetha Paan - Meetha Paan is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Chocolate Paan,['Delight'],Indian (North),[],Dessert,"['Festival', 'Corporate Lunch']",Chocolate Paan is a popular vegetarian dessert from Indian (North) cuisine.,Premium,Vegetarian,Medium,Live Counter,3.9,Chocolate Paan - Chocolate Paan is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Mint Paan,"['Express', 'Royal']",Indian (North),[],Dessert,"['Brunch', 'Dinner Party', 'Wedding', 'Office Party']",Mint Paan is a popular vegetarian dessert from Indian (North) cuisine.,Economy,Vegetarian,Spicy,Plated,4.5,Mint Paan - Mint Paan is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Dry Fruit Paan,['Classic'],Indian (North),[],Dessert,"['Festival', 'Birthday Party']",Dry Fruit Paan is a popular vegetarian dessert from Indian (North) cuisine.,Economy,Vegetarian,Mild,Live Counter,3.6,Dry Fruit Paan - Dry Fruit Paan is a popular vegetarian dessert from Indian (North) cuisine. (Indian (North))
Vanilla Ice Cream,['Special'],Continental,[],Dessert,"['Corporate Lunch', 'Brunch']",Vanilla Ice Cream is a popular vegetarian dessert from Continental cuisine.,Luxury,Vegetarian,Medium,Live Counter,4.7,Vanilla Ice Cream - Vanilla Ice Cream is a popular vegetarian dessert from Continental cuisine. (Continental)
Chocolate Ice Cream,"['Royal', 'Classic']",Continental,[],Dessert,"['Housewarming', 'Baby Shower', 'Dinner Party', 'Corporate Lunch']",Chocolate Ice Cream is a popular vegetarian dessert from Continental cuisine.,Luxury,Vegetarian,Spicy,Plated,4.9,Chocolate Ice Cream - Chocolate Ice Cream is a popular vegetarian dessert from Continental cuisine. (Continental)
Mango Ice Cream,"['Classic', 'Special']",Indian (West),[],Dessert,"['Brunch', 'Housewarming', 'Festival', 'Dinner Party']",Mango Ice Cream is a popular vegetarian dessert from Indian (West) cuisine.,Economy,Vegetarian,Mild,Buffet,4.6,Mango Ice Cream - Mango Ice Cream is a popular vegetarian dessert from Indian (West) cuisine. (Indian (West))
Tutti Frutti Sundae,['Special'],Continental,[],Beverage,"['Reception', 'Dinner Party']",Tutti Frutti Sundae is a popular vegetarian beverage from Continental cuisine.,Economy,Vegetarian,Mild,Buffet,3.6,Tutti Frutti Sundae - Tutti Frutti Sundae is a popular vegetarian beverage from Continental cuisine. (Continental)
Fruit Custard,['Royal'],Indian (North),[],Beverage,"['Reception', 'Get-together', 'Office Party', 'Brunch']",Fruit Custard is a popular vegetarian beverage from Indian (North) cuisine.,Economy,Vegetarian,Mild,Buffet,4.6,Fruit Custard - Fruit Custard is a popular vegetarian beverage from Indian (North) cuisine. (Indian (North))
Shrikhand,['Royal'],Indian (West),[],Beverage,"['Corporate Lunch', 'Get-together', 'Birthday Party', 'Housewarming']",Shrikhand is a popular vegetarian beverage from Indian (West) cuisine.,Premium,Vegetarian,Mild,Plated,4.0,Shrikhand - Shrikhand is a popular vegetarian beverage from Indian (West) cuisine. (Indian (West))
Mango Lassi,['Delight'],Indian (North),[],Beverage,"['Baby Shower', 'Office Party', 'Dinner Party']",Mango Lassi is a popular vegetarian beverage from Indian (North) cuisine.,Premium,Vegetarian,Mild,Buffet,4.6,Mango Lassi - Mango Lassi is a popular vegetarian beverage from Indian (North) cuisine. (Indian (North))
Jaljeera,"['Delight', 'Royal']",Indian (North),[],Beverage,"['Baby Shower', 'Dinner Party']",Jaljeera is a popular vegetarian beverage from Indian (North) cuisine.,Premium,Vegetarian,Medium,Buffet,4.8,Jaljeera - Jaljeera is a popular vegetarian beverage from Indian (North) cuisine. (Indian (North))
Sweet Lassi,['Royal'],Indian (North),[],Beverage,"['Get-together', 'Baby Shower', 'Birthday Party', 'Reception']",Sweet Lassi is a popular vegetarian beverage from Indian (North) cuisine.,Luxury,Vegetarian,Spicy,Live Counter,3.5,Sweet Lassi - Sweet Lassi is a popular vegetarian beverage from Indian (North) cuisine. (Indian (North))
Masala Chai,['Express'],Indian (North),[],Beverage,"['Wedding', 'Reception']",Masala Chai is a popular vegetarian beverage from Indian (North) cuisine.,Luxury,Vegetarian,Spicy,Buffet,3.7,Masala Chai - Masala Chai is a popular vegetarian beverage from Indian (North) cuisine. (Indian (North))
Cold Coffee,"['Classic', 'Special']",Continental,[],Beverage,"['Get-together', 'Wedding', 'Brunch']",Cold Coffee is a popular vegetarian beverage from Continental cuisine.,Standard,Vegetarian,Spicy,Buffet,4.7,Cold Coffee - Cold Coffee is a popular vegetarian beverage from Continental cuisine. (Continental)
Lemon Mojito,['Classic'],Continental,[],Beverage,"['Reception', 'Birthday Party', 'Dinner Party']",Lemon Mojito is a popular vegetarian beverage from Continental cuisine.,Economy,Vegetarian,Spicy,Plated,4.7,Lemon Mojito - Lemon Mojito is a popular vegetarian beverage from Continental cuisine. (Continental)
Rose Sharbat,"['Classic', 'Delight']",Indian (North),[],Beverage,"['Dinner Party', 'Corporate Lunch', 'Birthday Party']",Rose Sharbat is a popular vegetarian beverage from Indian (North) cuisine.,Economy,Vegetarian,Mild,Buffet,4.3,Rose Sharbat - Rose Sharbat is a popular vegetarian beverage from Indian (North) cuisine. (Indian (North))
Coconut Water,"['Special', 'Classic']",Indian (South),[],Beverage,"['Office Party', 'Birthday Party', 'Wedding', 'Housewarming']",Coconut Water is a popular vegetarian beverage from Indian (South) cuisine.,Economy,Vegetarian,Medium,Buffet,3.6,Coconut Water - Coconut Water is a popular vegetarian beverage from Indian (South) cuisine. (Indian (South))
Fruit Punch,"['Royal', 'Classic']",Continental,[],Beverage,"['Office Party', 'Birthday Party', 'Baby Shower']",Fruit Punch is a popular vegetarian beverage from Continental cuisine.,Premium,Vegetarian,Spicy,Live Counter,4.0,Fruit Punch - Fruit Punch is a popular vegetarian beverage from Continental cuisine. (Continental)
Thandai,['Express'],Indian (North),[],Beverage,"['Festival', 'Brunch', 'Reception', 'Housewarming']",Thandai is a popular vegetarian beverage from Indian (North) cuisine.,Economy,Vegetarian,Mild,Live Counter,5.0,Thandai - Thandai is a popular vegetarian beverage from Indian (North) cuisine. (Indian (North))
